age,gender,know_facebook,beliefs
34,Female,Not very much,2
31,Male,Not very much,0
49,Female,Not very much,0
69,Female,Nothing at all,0
21,Female,Nothing at all,1
36,Female,Nothing at all,0
18,Male,Not very much,0
62,Male,A fair amount,1
51,Male,A fair amount,0
37,Female,A great deal,4
54,Female,A great deal,1
23,Female,A great deal,2
41,Male,Nothing at all,0
54,Male,Nothing at all,0
67,Female,Nothing at all,2
45,Female,Not very much,1
21,Male,Not very much,2
73,Male,Nothing at all,1
37,Male,Not very much,0
61,Female,A fair amount,1
45,Male,Not very much,0
42,Female,Nothing at all,1
58,Female,Nothing at all,0
20,Male,Nothing at all,0
47,Male,Nothing at all,1
70,Male,Not very much,0
53,Female,Nothing at all,0
20,Male,Nothing at all,0
47,Female,Not very much,0
52,Female,Nothing at all,0
24,Male,Not very much,2
25,Female,Not very much,0
69,Male,Not very much,1
69,Male,Not very much,1
44,Female,Not very much,0
47,Female,A fair amount,1
64,Male,Nothing at all,0
57,Female,Nothing at all,1
69,Male,Nothing at all,0
24,Female,Not very much,4
60,Male,Nothing at all,2
36,Female,Nothing at all,0
68,In another way,Nothing at all,0
69,Male,Nothing at all,0
55,Male,Nothing at all,0
38,Male,Nothing at all,0
27,Female,A fair amount,1
39,Female,Nothing at all,2
60,Male,Nothing at all,0
21,Male,Not very much,0
31,Female,Nothing at all,0
40,Male,A great deal,3
46,Male,Nothing at all,0
27,Male,A fair amount,1
47,Female,Not very much,0
72,Male,Nothing at all,0
50,Female,Nothing at all,0
46,Male,Not very much,0
42,Female,Not very much,0
30,Male,Nothing at all,1
27,Male,Nothing at all,1
28,Male,Not very much,0
33,Female,Not very much,2
59,Female,Nothing at all,0
49,Male,Nothing at all,0
28,Male,Nothing at all,0
31,Female,A great deal,0
34,Male,Nothing at all,0
27,Female,A great deal,1
21,Male,A fair amount,1
41,Male,A fair amount,1
59,Female,Nothing at all,1
21,Male,Not very much,0
38,Male,Nothing at all,1
16,Male,Not very much,0
20,Female,A fair amount,1
20,Male,Not very much,4
50,Male,A fair amount,4
54,Male,Nothing at all,0
26,Female,Nothing at all,0
28,Female,A fair amount,0
69,Male,Nothing at all,1
54,Male,Not very much,1
30,Female,Nothing at all,0
21,Male,Not very much,3
52,Male,Nothing at all,1
21,Male,A fair amount,3
40,Female,Not very much,0
21,Female,Not very much,1
31,Male,Not very much,0
70,Male,Nothing at all,0
60,Female,Nothing at all,1
58,Male,Nothing at all,0
23,Male,A fair amount,2
19,Male,Nothing at all,0
23,Female,Nothing at all,0
60,Male,Nothing at all,1
26,Female,A fair amount,1
25,Female,A fair amount,0
75,Female,Nothing at all,0
64,Female,Nothing at all,0
44,Female,Nothing at all,0
70,Female,Nothing at all,0
63,Female,Nothing at all,0
72,Male,Not very much,0
27,Female,Not very much,5
58,Male,Nothing at all,0
21,Female,Not very much,0
23,Female,Not very much,0
20,Male,Not very much,0
37,Female,Nothing at all,0
30,Female,A fair amount,5
65,Female,Nothing at all,0
31,Female,Nothing at all,0
26,Female,Nothing at all,0
54,Male,Nothing at all,2
50,Male,Not very much,2
55,Male,Nothing at all,1
52,Female,Not very much,0
21,Male,Nothing at all,0
47,Male,Not very much,0
60,Male,Nothing at all,0
23,Male,A great deal,0
21,Female,Not very much,1
55,Male,Not very much,0
72,Female,Not very much,0
20,Male,A fair amount,0
70,Male,Nothing at all,1
23,Female,A fair amount,0
25,Female,A fair amount,0
57,Male,Nothing at all,0
65,Female,Nothing at all,0
65,Female,Nothing at all,1
29,Female,A great deal,1
44,Male,A fair amount,5
29,Female,Not very much,1
25,Male,A fair amount,1
37,Male,Nothing at all,0
49,Female,Not very much,0
64,Female,Nothing at all,0
74,Male,Nothing at all,0
19,Female,Nothing at all,0
63,Male,A fair amount,0
65,Male,Nothing at all,0
31,Female,Not very much,0
63,Female,Nothing at all,0
64,Male,Nothing at all,0
66,Female,Nothing at all,0
62,Female,Nothing at all,0
35,Female,A fair amount,1
40,Male,A fair amount,0
51,Female,Nothing at all,1
20,Male,A fair amount,3
25,Male,A fair amount,1
37,Male,Nothing at all,1
56,Male,Not very much,0
26,Male,Not very much,1
43,Male,Nothing at all,0
21,Male,Not very much,3
24,Male,A fair amount,1
55,Male,Nothing at all,0
66,Female,Nothing at all,0
28,Female,A fair amount,3
39,Female,Not very much,0
60,Female,Not very much,0
53,Female,Not very much,0
27,Female,Nothing at all,5
28,Female,Not very much,2
32,Male,Nothing at all,0
41,Male,Not very much,1
44,Male,Not very much,0
56,Female,Not very much,2
18,Male,Nothing at all,3
51,Male,Nothing at all,0
54,Male,Nothing at all,0
56,Male,Nothing at all,0
42,Female,A fair amount,0
64,Male,Nothing at all,0
30,Male,A fair amount,5
57,Male,Not very much,1
